Football Manager ID,Transfermarkt ID
21027125,349058
25062504,504130
19341140,525510
43458728,540334
53165598,549382
29218499,610581
2000060950,651288
19290868,662950
47097685,664617
25062165,688261
2000027222,723134
2000065504,792493
2000096352,889487
8489679,45004
38017482,109816
85057199,164936
62083501,186632
36078604,212381
21024809,238243
19263865,462755
51078557,564971
43590523,619717
72052927,623183
2000085311,661633
2000040480,812589
2000040632,813385
2000040749,813889
31042060,819712
2000151097,865731
2000151092,865741
2000084804,866506
2000061467,867603
2000138988,872754
2000151094,874964
2000139142,877525
2000139087,878062
2000139105,878076
2000078817,884641
2000151089,905069
59035871,135956
78001172,143960
78058151,251023
93054664,271806
77045771,366028
23178247,425173
17004841,450945
77051999,453044
86034984,500292
20045118,501710
27111205,503567
14028792,526288
33080269,567761
77059266,662707
17004144,140467
72026322,220521
33031095,224693
53107583,291016
48033963,351523
53108461,410388
93097547,435522
23223691,519809
53138460,538728
71109900,662033
2000053056,877320
53131689,430031
77063722,867036
53165582,539663
27139791,514888
2000030731,726036
59075836,250907
53026682,73450
14201603,830109
63037978,598656
63026960,330275
57001096,46658
2111889,54929
37072372,282734
29198453,287015
53131647,476836
43216497,524612
8728250,31095
75058396,728526
2000059053,746136
75047905,844735
77060023,857804
98062289,507418
17039808,546979
27024501,654847
66046964,677475
55008237,56014
27006534,102043
20048631,509994
18115821,680916
75045679,698490
53015879,121406
43617036,718128
12005149,29122
12008115,141329
7485621,182595
19027120,196028
22023251,224398
24025308,250416
21030336,397683
17034991,504081
17037237,525477
17038937,662411
17040750,664719
2000042047,671433
75054795,738428
19339661,739115
75051070,742028
57208615,780352
75055000,844448
75054987,896213
17040274,915283
2000112992,918606
51068120,433962
76056345,606421
2000019950,615705
37084725,652996
78099343,671953
91012823,74776
96501785,98968
70046578,123527
43067910,163243
23190466,212413
58104489,279992
14006633,53477
51009956,162940
19223085,313691
53114434,466918
89057362,434526
27112022,485732
32024810,332826
88021678,204858
78069690,285171
17002691,408605
79007400,416223
2000018315,625132
2000008458,766200
93059801,251703
93070285,401319
13139328,288655
37041405,273001
53166995,794757
2000092541,763956
18095458,410238
83313824,587278
38041576,249036
57211920,896799
2000100960,900624
916476,34937
83111071,415271
2000016370,762180
2000083934,862661
67293607,689632
2000082996,679789
2000026414,638649
17034212,470268
71090373,381812
17038348,295689
78061502,264582
23142135,251936
23142144,251910
75018797,173035
23039600,155203
17001266,105507
53102232,103711
29141400,423277
2000119731,703006
71063204,241700
21027340,243679
36137785,497808
19320257,522091
2000033177,638703
20046557,561040
20050672,593927
37010039,106634
14174081,442679
955574,73439
2000112089,829859
71080706,522834
28095476,258917
71049129,330574
55046907,213351
77001844,49426
27091942,201994
79025616,336396
77001214,63451
21027004,317964
67157482,273597
2000083402,859174
75058365,668079
78098944,627711
59137401,522135
93085279,357695
59070389,353489
93031871,220378
47023150,182955
28042870,95870
8826108,83907
5250728,55311
68005770,51828
91150180,263118
24019902,207007
23062649,201905
62056999,193216
91018464,83251
2000151101,726618
77048055,663957
93107716,435342
53052829,234183
