Football Manager ID,Transfermarkt ID
464215,46594
831854,92792
59001988,24776
8500482,24783
7450331,42856
67008280,62451
2000055028,84585
60000027,72068
60011226,93285
8800746,92697
706122,92792
8800350,72992
2000019538,82066
60001252,53609
60030576,64123
60028729,64333
3802732,50218
59007095,37932
1652938,64407
5607100,31169#
27032390,17552
478028,54076
482216,62783
481717,32627
478328,49424
58103348,73522
491447,59996
3600693,6420
2001313,6907
117119,4776
50065278,51940
3501327,30525
3503289,83187
5781439,55962
8082571,2073
915684,76846
919862,93707
50058130,83464
55021600,11055
55021599,11055
3272,11055
5701087,37465
5743015,14767
7444816,5109
36130558,51388
92083674,30857
8436230,60907
3502913,61738
85015897,18241
9031,93112
8429529,9898
7460485,54312
2018698,47986
14036,3647
708019,2134
703445,48991
705227,1294
705080,22001
43024262,29507
15034,35533
126527,92540
8728176,48380
7980016,12908
7989370,6301
3997,42066
3802417,25245
3801557,25228
703983,26157
3801742,63693
3804992,74781
43203853,78084
43036486,62536
10287,56669
706637,25067
706308,16467
2014664,17363
7482274,53599
139791,10079
5315448,81032
876509,34497
8721279,15442
475785,580
14654,9879
1651928,29920
4210650,30245
55061396,20174
731351,31344
84127350,66277
70046405,31336
451865,79835
2018788,792
457035,29046
70058003,71084
43117560,87459
704985,22423
43407143,65993
43268987,72006
43007897,87847
705066,45055
43012000,45039
43206625,67562
4640,37285
706640,18850
43009076,27200
36157599,56220
7985877,9124
830266,87683
704867,49785
43115002,30070
1406113,72914
705717,71990
43010723,72165
6100513,56385
43075007,39575
705223,515
2437,25542
706443,32353
60021549,69845
1405131,20742
706649,48949
43130927,59541
705171,18617
703373,2242
706092,94965
704607,61736
1403510,13953
11061,87388
12544,53812
115270,46664
9729,72779
6100611,7517
12099,10574
3803733,12913
691577,38072
43350633,55884
4102349,51377
6100405,53978
830605,62905
706186,63788
6100102,89520
833866,16477
7980779,13947
2000084774,94807
2000084773,94806
2000058386,94799
2000058378,94803
6100555,13843
2000079339,94798
8445,38195
43123028,94797
826981,73670
3804675,64045
43007723,74242
7989306,86336
43214006,79621
43031309,13823
7980234,74269
43270596,85652
14155,42064
5600711,55100
7980179,9461
16005187,93516
6100445,47318
43052035,12146
3800825,13839
705652,8703
705932,35489
11260,12560
16341013,93827
16127900,55579
2000331,2118
463711,28949
70102778,90734
70131940,42434
454131,56137
450508,801
3804834,48886
477940,64101
479976,12230
485365,54792
2282,12224
451760,53723
13263,36051
36000557,17659
470809,73765
34043905,65904
34043904,65904
34043903,65904
14681,65904
919,24207
58110123,94986
528620,49610
6601064,40837
8168107,707
5385003,10098
80006916,22901
4200590,439
59006999,45937
1652889,76683
65013601,41896
200305,706
65026608,43922
117012,21191
36076698,50239
876791,14563
116940,8776
130693,61977
401976,2188
57147177,25753
7543908,87704
57098444,25753
105986,45350
130655,3632
5310251,74174
43490823,72218
23288270,52435
7521207,60461
149612,36791
149756,79239
5341869,57443
43318233,78443
8449,41140
59138857,4767
477933,4767
2001723,16539
7506406,7682
142607,89852
2018649,23782
310789,85779
7502859,4053
116369,24522
9323,5643
7500568,36276
104350,23257
7500607,2308
22018539,9596
142730,20988
116383,7676
29125162,17435
67294219,69675
7004392,38310
7501522,21510
5300045,61291
77059361,77920
2000255,20143
1501854,90931
19343644,90272
4000785,1705
2014927,81040
4100119,58469
3300409,19398
36139325,78891
450424,19407
2018806,32128
705244,6496
19002936,83174
7499,75079
7989206,12597
35007453,3589
92063677,4864
495663,28282
477975,59995
70047294,37672
450794,19095
464848,39871
7498,24351
8476071,2492
7449883,5941
8485628,10883
456392,46223
12490,40496
47018174,18517
13196043,25715
55021994,52501
8879196,11392
43081232,20727
5660237,22970
8826105,42734
107068,4782
465029,2628
601552,497
8713095,72
28010315,19944
3201512,1903
7561577,69328
7415,27237
3300018,91297
1343,19944
7981826,10073
3801601,12924
7001437,2063
4001686,11536
89072042,80757
8718049,88047
3600746,694
7560181,41185
2016368,53128
8106,24705
680664,74011
2010516,1269
19151968,17444
70087876,24256
11238,7671
2013756,20444
76038993,26587
83143750,53922
4200959,12110
18097072,53316
8476,35112
127379,32138
19016090,72121
117112,5199
450891,30871
2015765,18753
3500499,64059
3500871,76282
3502585,63863
30031345,26516
127555,29437
33079222,66555
16333768,21819
353514,91963
2004197,21217
5203649,71534
74001322,84048
74002799,47341
453915,32976
70112916,67128
70007787,25912
450574,91894
35023416,1597
478230,64902
139604,7484
34000240,24611
50058494,75305
34011598,12663
85017302,20904
911031,89422
50052077,83018
3504685,64696
3501982,45664
34001938,59403
85030800,88089
8429638,58283
829910,16083
810,20773
4697,16462
6100609,7503
43036962,16088
836168,56747
836219,8036
10286,25643
3803879,47260
43161263,41534
43446543,59164
705610,55149
8092,26169
7986766,18575
43059636,27809
43115057,38146
3804679,42089
15039,16442
705674,19861
832854,39125
1964,35432
6100313,53772
2942,42757
704181,68932
708018,527
3801445,56336
43009241,10050
830081,91249
703885,2141
67092766,19729
67064573,33150
10959,14144
67058313,69679
